Net Profit,Total Closed Trades,Percent Profitable,Profit Factor,Max. Drawdown,Avg. Trade,St Value
3734311380792.445,872,72.47706422018348,17.03648010013964,-9.181905929629131,4282467179.8078494,1621.2397495197886
3734311380792.445,872,72.47706422018348,17.03648010013964,-9.181905929629131,4282467179.8078494,1621.2397495197886
3734311380792.445,872,72.47706422018348,17.03648010013964,-9.181905929629131,4282467179.8078494,1621.2397495197886
3801050754801.006,872,72.47706422018348,17.048303690076253,-9.181905929629131,4359003159.175466,1650.7056513985988
3801050754801.006,872,72.47706422018348,17.048303690076253,-9.181905929629131,4359003159.175466,1650.7056513985988
3801050754801.006,872,72.47706422018348,17.048303690076253,-9.181905929629131,4359003159.175466,1650.7056513985988
3801050754801.006,872,72.47706422018348,17.048303690076253,-9.181905929629131,4359003159.175466,1640.7228147156536
3801050754801.006,872,72.47706422018348,17.048303690076253,-9.181905929629131,4359003159.175466,1640.7228147156536
3801050754801.006,872,72.47706422018348,17.048303690076253,-9.181905929629131,4359003159.175466,1640.7228147156536
3800673825254.149,872,72.47706422018348,17.048236912998053,-9.181905929629131,4358570900.520814,1642.5705857395856
3800673825254.149,872,72.47706422018348,17.048236912998053,-9.181905929629131,4358570900.520814,1642.5705857395856
3800673825254.149,872,72.47706422018348,17.048236912998053,-9.181905929629131,4358570900.520814,1642.5705857395856
3800673825254.149,872,72.47706422018348,17.048236912998053,-9.181905929629131,4358570900.520814,1641.625982955413
3800673825254.149,872,72.47706422018348,17.048236912998053,-9.181905929629131,4358570900.520814,1641.625982955413
3800673825254.149,872,72.47706422018348,17.048236912998053,-9.181905929629131,4358570900.520814,1641.625982955413
3822204497854.893,872,72.47706422018348,17.05205130064661,-9.181905929629131,4383262038.824418,1648.464743749758
3822204497854.893,872,72.47706422018348,17.05205130064661,-9.181905929629131,4383262038.824418,1648.464743749758
3822204497854.893,872,72.47706422018348,17.05205130064661,-9.181905929629131,4383262038.824418,1648.464743749758
3822204497854.893,872,72.47706422018348,17.05205130064661,-9.181905929629131,4383262038.824418,1641.625982955413
3822204497854.893,872,72.47706422018348,17.05205130064661,-9.181905929629131,4383262038.824418,1641.625982955413
3822204497854.893,872,72.47706422018348,17.05205130064661,-9.181905929629131,4383262038.824418,1641.625982955413
3803506507909.313,872,72.47706422018348,17.048738752858448,-9.181905929629131,4361819389.804258,1647.4884165980288
3803506507909.313,872,72.47706422018348,17.048738752858448,-9.181905929629131,4361819389.804258,1647.4884165980288
3803506507909.313,872,72.47706422018348,17.048738752858448,-9.181905929629131,4361819389.804258,1647.4884165980288
3803506507909.313,872,72.47706422018348,17.048738752858448,-9.181905929629131,4361819389.804258,1641.625982955413
3803506507909.313,872,72.47706422018348,17.048738752858448,-9.181905929629131,4361819389.804258,1641.625982955413
3803506507909.313,872,72.47706422018348,17.048738752858448,-9.181905929629131,4361819389.804258,1641.625982955413
3808452280448.37,872,72.47706422018348,17.049614949066314,-9.181905929629131,4367491147.303177,1650.218511620705
3808452280448.37,872,72.47706422018348,17.049614949066314,-9.181905929629131,4367491147.303177,1650.218511620705
3808452280448.37,872,72.47706422018348,17.049614949066314,-9.181905929629131,4367491147.303177,1650.218511620705
3891184261714.046,873,72.5085910652921,17.063518919610853,-9.181905929629131,4457255740.795012,1636.2826108863683
3891184261714.046,873,72.5085910652921,17.063518919610853,-9.181905929629131,4457255740.795012,1636.2826108863683
3891184261714.046,873,72.5085910652921,17.063518919610853,-9.181905929629131,4457255740.795012,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1627.5719235400418
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1627.5719235400418
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1627.5719235400418
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3895947450889.721,873,72.5085910652921,17.064297902968914,-9.181905929629131,4462711856.689257,1636.2826108863683
3893473813998.972,873,72.5085910652921,17.063893358471372,-9.181905929629131,4459878366.550941,1626.5342692691893
3893473813998.972,873,72.5085910652921,17.063893358471372,-9.181905929629131,4459878366.550941,1626.5342692691893
3893473813998.972,873,72.5085910652921,17.063893358471372,-9.181905929629131,4459878366.550941,1626.5342692691893
3885097964434.017,873,72.5085910652921,17.062523551986665,-9.181905929629131,4450284037.152368,1632.951603670261
3885097964434.017,873,72.5085910652921,17.062523551986665,-9.181905929629131,4450284037.152368,1632.951603670261
3885097964434.017,873,72.5085910652921,17.062523551986665,-9.181905929629131,4450284037.152368,1632.951603670261
3836406013204.792,874,72.42562929061785,16.978834220489336,-9.181905929629131,4389480564.307543,1623.8606901095836
3836406013204.792,874,72.42562929061785,16.978834220489336,-9.181905929629131,4389480564.307543,1623.8606901095836
