Time,Price,Side
02/23/23 19:04:36,1643.11,Short
02/23/23 19:05:30,1644.31,Short
02/23/23 19:06:26,1645.16,Short
02/23/23 19:07:22,1645.47,Short
02/23/23 19:08:32,1645.8,Short
02/23/23 19:09:26,1646.16,Short
02/23/23 19:10:20,1646.5,Short
02/23/23 19:11:30,1648.64,Short
02/23/23 19:12:25,1649.76,Short
02/23/23 19:13:24,1648.75,Short
02/23/23 19:14:38,1649.45,Short
02/23/23 19:15:34,1651.89,Short
02/23/23 19:16:28,1652.08,Short
02/23/23 19:17:24,1654.09,Short
02/23/23 19:18:35,1653.5,Short
02/23/23 19:19:30,1653.48,Short
02/23/23 19:20:26,1654.56,Short
02/23/23 19:21:20,1653.36,Short
02/23/23 19:22:29,1654.88,Short
02/23/23 19:23:25,1653.32,Short
02/23/23 19:24:35,1654.36,Short
02/23/23 19:25:31,1654.44,Short
02/23/23 19:26:27,1653.75,Short
02/23/23 19:27:22,1653.36,Short
02/23/23 19:28:34,1654.39,Short
02/23/23 19:29:28,1653.73,Short
02/23/23 19:30:25,1653.51,Short
02/23/23 19:31:20,1653.99,Short
02/23/23 19:32:30,1654.22,Short
02/23/23 19:33:26,1654.37,Short
02/23/23 19:34:19,1655.3,Short
02/23/23 19:35:28,1656.14,Short
02/23/23 19:36:27,1655.71,Short
02/23/23 19:37:24,1655.47,Short
02/23/23 19:38:21,1654.46,Short
02/23/23 19:39:34,1653.15,Short
02/23/23 19:40:30,1653.65,Short
02/23/23 19:41:26,1652.16,Short
02/23/23 19:42:21,1652.01,Short
02/23/23 19:43:32,1652.79,Short
02/23/23 19:44:26,1653.36,Short
02/23/23 19:45:24,1653.7,Short
02/23/23 19:46:34,1654.86,Short
02/23/23 19:47:31,1652.31,Short
02/23/23 19:48:29,1653.8,Short
02/23/23 19:49:25,1653.67,Short
02/23/23 19:50:22,1654.59,Short
02/23/23 19:51:34,1653.78,Short
02/23/23 19:52:29,1652.99,Short
02/23/23 19:53:26,1652.43,Short
02/23/23 19:54:22,1651.62,Short
02/23/23 19:55:33,1653.51,Short
02/23/23 19:56:28,1651.7,Short
02/23/23 19:57:24,1651.26,Short
02/23/23 19:58:35,1652.74,Short
02/23/23 19:59:29,1653.47,Short
02/23/23 20:04:31,1655.05,Short
02/23/23 20:05:26,1656.37,Short
02/23/23 20:06:23,1655.99,Short
02/23/23 20:07:34,1655.29,Short
02/23/23 20:08:28,1654.35,Short
02/23/23 20:09:28,1653.14,Short
02/23/23 20:10:23,1653.8,Short
02/23/23 20:11:35,1654.01,Short
02/23/23 20:12:30,1656.09,Short
02/23/23 20:13:26,1655.29,Short
02/23/23 20:14:26,1657.46,Short
02/23/23 20:15:22,1656.87,Short
02/23/23 20:16:34,1657.21,Short
02/23/23 20:17:27,1656.78,Short
02/23/23 20:18:24,1656.81,Short
02/23/23 20:19:34,1656.1,Short
02/23/23 20:20:28,1654.63,Short
02/23/23 20:21:24,1654.51,Short
02/23/23 20:22:20,1657.17,Short
02/23/23 20:23:32,1656.11,Short
02/23/23 20:24:29,1656.69,Short
02/23/23 20:25:26,1655.71,Short
02/23/23 20:26:25,1655.56,Short
02/23/23 20:27:21,1656.84,Short
02/23/23 20:28:32,1656.72,Short
02/23/23 20:29:26,1656.43,Short
02/23/23 20:30:22,1655.77,Short
02/23/23 20:31:33,1654.8,Short
02/23/23 20:32:28,1654.63,Short
02/23/23 20:33:24,1656.68,Short
02/23/23 20:34:35,1655.51,Short
02/23/23 20:35:30,1655.5,Short
02/23/23 20:36:28,1656.13,Short
02/23/23 20:37:24,1655.01,Short
02/23/23 20:38:35,1655.02,Short
02/23/23 20:39:29,1653.56,Short
02/23/23 20:40:25,1653.15,Short
02/23/23 20:41:20,1653.27,Short
02/23/23 20:42:29,1653.12,Short
02/23/23 20:43:26,1654.64,Short
02/23/23 20:44:21,1652.64,Short
02/23/23 20:45:31,1652.79,Short
02/23/23 20:46:30,1652.48,Short
02/23/23 20:47:31,1653.14,Short
02/23/23 20:48:28,1652.79,Short
02/23/23 20:49:23,1651.13,Short
02/23/23 20:50:33,1651.45,Short
02/23/23 20:51:27,1650.48,Short
02/23/23 20:52:23,1651.19,Short
02/23/23 20:53:35,1650.0,Short
02/23/23 20:54:30,1649.59,Short
02/23/23 20:55:26,1649.2,Short
02/23/23 20:56:21,1651.25,Short
02/23/23 20:57:30,1651.04,Short
02/23/23 20:58:28,1651.57,Short
02/23/23 20:59:24,1650.65,Short
02/23/23 21:04:37,1651.01,Short
02/23/23 21:05:31,1651.42,Short
02/23/23 21:06:28,1652.5,Short
02/23/23 21:07:26,1652.5,Short
02/23/23 21:08:24,1652.4,Short
02/23/23 21:09:35,1652.11,Short
02/23/23 21:10:30,1652.72,Short
02/23/23 21:11:27,1652.98,Short
02/23/23 21:12:22,1652.89,Short
02/23/23 21:13:33,1652.94,Short
02/23/23 21:14:28,1652.9,Short
02/23/23 21:15:23,1653.15,Short
02/23/23 21:16:35,1653.08,Short
02/23/23 21:17:31,1653.49,Short
02/23/23 21:18:29,1655.48,Short
02/23/23 21:19:26,1655.47,Short
02/23/23 21:20:24,1655.44,Short
02/23/23 21:21:21,1655.33,Short
02/23/23 21:22:32,1654.55,Short
02/23/23 21:23:28,1653.89,Short
02/23/23 21:24:25,1653.57,Short
02/23/23 21:25:19,1653.04,Short
02/23/23 21:26:28,1652.99,Short
02/23/23 21:27:23,1653.16,Short
02/23/23 21:28:40,1652.24,Short
02/23/23 21:29:20,1651.51,Short
02/23/23 21:30:31,1651.19,Short
02/23/23 21:31:28,1651.91,Short
02/23/23 21:32:24,1650.59,Short
02/23/23 21:33:21,1650.87,Short
02/23/23 21:34:32,1650.15,Short
02/23/23 21:35:27,1651.12,Short
02/23/23 21:36:23,1650.33,Short
02/23/23 21:37:34,1650.51,Short
02/23/23 21:38:28,1650.23,Short
02/23/23 21:39:24,1649.21,Short
02/23/23 21:40:19,1649.44,Short
02/23/23 21:41:30,1650.82,Short
02/23/23 21:42:26,1649.64,Short
02/23/23 21:43:22,1649.34,Short
02/23/23 21:44:33,1649.29,Short
