Time,Price,Side
02/23/23 19:04:41,1643.1,Short
02/23/23 19:05:36,1645.03,Short
02/23/23 19:06:31,1645.16,Short
02/23/23 19:07:26,1645.25,Short
02/23/23 19:08:37,1645.88,Short
02/23/23 19:09:30,1646.02,Short
02/23/23 19:10:25,1646.46,Short
02/23/23 19:11:35,1649.17,Short
02/23/23 19:12:33,1649.53,Short
02/23/23 19:13:28,1648.69,Short
02/23/23 19:14:42,1649.81,Short
02/23/23 19:15:39,1650.75,Short
02/23/23 19:16:35,1652.83,Short
02/23/23 19:17:29,1654.06,Short
02/23/23 19:18:40,1653.75,Short
02/23/23 19:19:36,1653.25,Short
02/23/23 19:20:30,1654.81,Short
02/23/23 19:21:24,1653.25,Short
02/23/23 19:22:34,1654.63,Short
02/23/23 19:23:29,1653.57,Short
02/23/23 19:24:40,1654.3,Short
02/23/23 19:25:37,1654.05,Short
02/23/23 19:26:33,1654.01,Short
02/23/23 19:27:27,1653.1,Short
02/23/23 19:28:38,1654.39,Short
02/23/23 19:29:33,1653.43,Short
02/23/23 19:30:30,1653.46,Short
02/23/23 19:31:25,1654.0,Short
02/23/23 19:32:36,1654.81,Short
02/23/23 19:33:30,1654.27,Short
02/23/23 19:34:24,1655.55,Short
02/23/23 19:35:37,1656.19,Short
02/23/23 19:36:34,1655.59,Short
02/23/23 19:37:32,1655.41,Short
02/23/23 19:38:27,1654.58,Short
02/23/23 19:39:39,1653.66,Short
02/23/23 19:40:36,1653.55,Short
02/23/23 19:41:31,1652.21,Short
02/23/23 19:42:26,1652.58,Short
02/23/23 19:43:37,1652.91,Short
02/23/23 19:44:33,1653.35,Short
02/23/23 19:45:28,1653.69,Short
02/23/23 19:46:40,1654.71,Short
02/23/23 19:47:39,1652.4,Short
02/23/23 19:48:35,1653.55,Short
02/23/23 19:49:31,1653.16,Short
02/23/23 19:50:26,1654.02,Short
02/23/23 19:51:39,1653.37,Short
02/23/23 19:52:36,1653.1,Short
02/23/23 19:53:31,1652.47,Short
02/23/23 19:54:27,1652.09,Short
02/23/23 19:55:38,1653.07,Short
02/23/23 19:56:34,1651.7,Short
02/23/23 19:57:28,1651.03,Short
02/23/23 19:58:39,1652.75,Short
02/23/23 19:59:38,1652.88,Short
02/23/23 20:04:37,1655.22,Short
02/23/23 20:05:33,1656.37,Short
02/23/23 20:06:27,1655.74,Short
02/23/23 20:07:38,1654.83,Short
02/23/23 20:08:38,1654.11,Short
02/23/23 20:09:34,1653.01,Short
02/23/23 20:10:28,1653.83,Short
02/23/23 20:11:40,1654.22,Short
02/23/23 20:12:36,1655.85,Short
02/23/23 20:13:35,1655.57,Short
02/23/23 20:14:31,1657.56,Short
02/23/23 20:15:27,1656.72,Short
02/23/23 20:16:38,1657.23,Short
02/23/23 20:17:34,1656.53,Short
02/23/23 20:18:28,1656.77,Short
02/23/23 20:19:39,1655.28,Short
02/23/23 20:20:35,1654.79,Short
02/23/23 20:21:29,1654.5,Short
02/23/23 20:22:26,1656.73,Short
02/23/23 20:23:39,1656.28,Short
02/23/23 20:24:35,1656.64,Short
