time,Open,High,Low,Close,Volume
1609459200000,737.18,750.4,730.0,741.7275000000001,262176.588
1609466400000,743.255,750.4,743.23,747.22,118815.237
1609473600000,747.625,748.04,740.41,743.99,99214.614
1609480800000,743.755,744.09,735.1,739.775,129402.994
1609488000000,739.9549999999999,739.55,725.59,734.425,212842.513
1609495200000,736.28,742.9,733.81,737.7425,114559.424
1609502400000,737.13,744.61,732.86,739.605,243948.986
1609509600000,740.4749999999999,743.83,734.13,738.775,139913.046
1609516800000,738.5699999999999,738.43,727.5,732.765,147800.661
1609524000000,732.565,732.8,714.55,725.4575,298401.528
1609531200000,727.24,731.56,722.88,727.255,112947.569
1609538400000,727.29,732.86,726.6,729.53,72268.09
1609545600000,729.3299999999999,732.57,715.6,727.0175,301296.924
1609552800000,729.95,735.38,729.55,731.635,123998.852
1609560000000,730.8050000000001,734.16,727.05,731.3725,104315.814
1609567200000,732.1400000000001,741.7,731.28,735.4100000000001,199659.409
1609574400000,734.33,739.43,723.25,731.1874999999999,213037.326
1609581600000,731.035,734.85,724.0,728.91,125306.284
1609588800000,728.395,774.81,729.31,751.735,849673.175
1609596000000,751.4100000000001,772.85,755.0,767.4625,390025.431
1609603200000,771.0,786.9,765.49,775.5175,695761.937
1609610400000,774.84,788.71,772.75,781.725,298857.618
1609617600000,782.72,786.2,754.69,774.0050000000001,678592.123
1609624800000,777.565,778.21,763.46,771.6175000000001,195983.688
1609632000000,772.4,779.55,771.37,775.865,183815.2
1609639200000,776.27,782.37,771.94,776.255,126192.313
1609646400000,775.355,792.0,769.19,780.4725000000001,346046.555
1609653600000,780.35,807.44,784.32,795.0625,440014.376
1609660800000,794.245,827.04,792.45,810.1025,540739.38
1609668000000,810.46,834.0,817.5,825.5575,434960.893
1609675200000,825.365,891.82,827.62,856.77,870713.483
1609682400000,853.8199999999999,926.62,866.0,897.26,1769593.519
1609689600000,898.21,985.79,919.82,941.38,1968020.122
1609696800000,929.955,946.88,894.21,926.2025000000001,885520.51
1609704000000,931.86,968.48,921.65,941.4525,737906.991
1609711200000,937.8399999999999,1022.51,947.0,975.4775,1306744.46
1609718400000,966.2,998.0,953.91,975.4425,652068.739
1609725600000,974.9300000000001,1030.0,964.47,997.3075,549297.25
1609732800000,997.38,1098.8,1015.12,1056.35,1028743.22
1609740000000,1055.74,1173.94,1031.0,1085.935,2059791.459
1609747200000,1069.4,1085.65,914.45,1005.6999999999999,1895209.086
1609754400000,1011.3499999999999,986.0,890.0,955.9425,1398086.845
1609761600000,973.885,1031.7,956.03,994.6025,1130724.857
1609768800000,995.34,1059.28,1002.36,1029.1575,988206.484
1609776000000,1027.495,1050.18,983.42,1018.9124999999999,1012508.692
1609783200000,1021.025,1050.0,1000.12,1023.87,438024.463
1609790400000,1022.6800000000001,1052.04,993.02,1024.19,539213.478
1609797600000,1025.85,1049.0,1001.95,1025.37,365786.494
1609804800000,1025.2649999999999,1138.92,1042.99,1085.8575,1158947.962
1609812000000,1080.76,1120.0,994.99,1058.665,796621.353
1609819200000,1059.835,1031.65,974.23,999.555,881961.278
1609826400000,996.17,1026.0,979.95,1000.2625,448209.489
1609833600000,997.55,1052.44,1004.15,1024.6775,498802.166
1609840800000,1021.06,1045.67,1016.0,1035.8975,350781.114
1609848000000,1040.96,1059.0,1024.02,1038.12,390002.967
1609855200000,1034.73,1066.48,1002.18,1037.0375,613349.246
1609862400000,1039.745,1087.52,1037.65,1065.8075000000001,511597.621
1609869600000,1069.0300000000002,1114.5,1045.56,1086.01,892961.237
1609876800000,1091.99,1106.0,1075.0,1091.15,451866.375
1609884000000,1091.8,1129.02,1081.0,1098.7224999999999,530996.285
1609891200000,1092.435,1113.69,1057.3,1086.3274999999999,542450.022
1609898400000,1087.1599999999999,1088.6,1063.04,1075.4524999999999,255092.135
1609905600000,1075.085,1146.0,1074.68,1100.5725,788333.369
1609912800000,1090.8049999999998,1126.64,1091.43,1107.4050000000002,388274.47
1609920000000,1105.775,1126.67,1092.0,1106.895,502873.964
1609927200000,1104.455,1179.0,1099.46,1134.905,740847.793
1609934400000,1130.58,1168.49,1123.34,1147.3525,473994.391
1609941600000,1148.79,1156.68,1127.34,1141.4950000000001,401300.157
1609948800000,1140.98,1214.43,1144.0,1174.545,988492.172
1609956000000,1169.875,1214.07,1154.8,1181.75,539477.573
1609963200000,1179.065,1211.57,1112.02,1167.1025,993942.205
1609970400000,1172.4099999999999,1218.0,1173.4,1196.6975000000002,337783.302
1609977600000,1197.6950000000002,1226.52,1188.96,1208.0625,435910.686
1609984800000,1208.385,1230.0,1181.0,1208.295,359533.619
1609992000000,1211.0900000000001,1221.99,1205.0,1213.91,250786.561
1609999200000,1214.325,1214.65,1180.31,1198.1725000000001,286070.77
1610006400000,1198.865,1208.22,1160.0,1190.9025,390837.591
1610013600000,1197.695,1209.89,1183.1,1201.54,245594.09
1610020800000,1206.585,1234.62,1201.0,1215.53,461102.351
1610028000000,1213.25,1257.14,1216.07,1237.0675,413762.056
1610035200000,1237.53,1283.0,1242.0,1263.615,583049.846
1610042400000,1264.73,1297.15,1150.0,1239.81,1545523.43
